"id","name","brand","category","price","image_url","description","tags"
"1","Saucony Kinvara 13 Running Shoe","Saucony","Footwear","57.79","https://m.media-amazon.com/images/I/71QeGmahUnL._AC_UX500_.jpg","Lightweight speed with signature flexible feel for road running.","running shoes athletic men breathable road-running"
"2","Kishigo Premium Black Series Safety Vest","Kishigo","Apparel","28.50","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","Heavy duty reflective vest with 6 pockets and silver lining.","safety vest construction reflective workwear protective"
"3","Solar Post Cap Lights (4 Pack)","TWINSLUXES","Home Decor","33.99","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","Waterproof LED solar lights for garden and patio decoration.","solar lights outdoor garden waterproof patio led"
"4","Accutire MS-4021B Digital Tire Gauge","Accutire","Automotive","17.95","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Heavy duty tire pressure gauge with backlit LCD display.","automotive tool digital maintenance pressure tires"
"5","Adivasi Ayurvedic Neelgiri Hair Oil","SAURA LIFE","Beauty","9.99","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Natural hair growth oil formulated with 101 rare herbs.","ayurvedic beauty hair-oil growth natural organic"
"6","KASOTT Memory Foam Airpod Pro Tips","KASOTT","Electronics","17.88","https://m.media-amazon.com/images/I/51PJLJF3tIL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Replacement ear tips for AirPods Pro with noise reduction.","electronics audio airpods accessories foam comfort"
"7","Bio-Oil Skincare Body Oil (Natural)","Bio-Oil","Beauty","24.95","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Natural serum for scars and stretchmarks and skin hydration.","skincare beauty natural oil moisturizer body-care"
"8","Vans Old Skool Classic Skate Shoes","Vans","Footwear","70.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Iconic waffle sole canvas sneakers for skating and casual wear.","footwear shoes vans skate classic unisex"
"9","Brother TN-620 Laser Toner Cartridge","Brother","Office","73.98","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","High-yield black toner for professional office printing.","office printer toner ink supplies professional"
"10","Zenith Pro Mechanical Keyboard","Nexus","Peripherals","129.00","https://images.unsplash.com/photo-1511467687858-23d96c32e4ae","RGB backlit mechanical keyboard with tactile switches.","gaming peripherals mechanical rgb wireless"
"11","Nike Air Zoom Pegasus","Nike","Footwear","120.00","https://images.unsplash.com/photo-1542291026-7eec264c27ff","Responsive cushioning for daily road running performance.","running shoes athletic nike zoom breathable"
"12","Tactical High-Vis Mesh Jacket","Kishigo","Apparel","42.50","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","Breathable mesh safety jacket for construction sites.","safety vest jacket reflective workwear outdoor"
"13","Pathway Landscape Lights (8 Pack)","TWINSLUXES","Home Decor","55.00","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","Weatherproof bright white LED path markers for lawn.","solar lights garden landscape waterproof path"
"14","Digital Tire Pressure System","Accutire","Automotive","29.99","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Precision sensor tool for maintaining vehicle performance.","automotive tool digital pressure gauge tires"
"15","Herbal Hair Revitalizer","SAURA LIFE","Beauty","19.99","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Ayurvedic blend for thickness and scalp health.","ayurvedic beauty hair-oil growth natural scalp"
"16","Wireless ANC Earbuds","KASOTT","Electronics","65.00","https://m.media-amazon.com/images/I/51PJLJF3tIL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Active noise cancellation with crystal clear audio quality.","electronics audio bluetooth wireless anc earbuds"
"17","Bio-Oil Specialist Skincare","Bio-Oil","Beauty","14.50","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Formula for aging skin and evening out skin tone.","skincare beauty oil moisturizer healing"
"18","Vans Checkerboard Era","Vans","Footwear","65.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Low top lace-up sneakers with durable canvas uppers.","footwear shoes vans classic checkerboard slip-on"
"19","HP 64A Black Toner","HP","Office","110.00","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Professional results for every page in your printer.","office printer toner ink supplies professional"
"20","Aero Ergonomic Mouse","Nexus","Peripherals","35.00","https://images.unsplash.com/photo-1527443224154-c4a3942d3acf","Vertical design to reduce wrist strain during work.","gaming peripherals mouse wireless ergonomic productivity"
"21","Adidas Ultraboost 22","Adidas","Footwear","180.00","https://images.unsplash.com/photo-1587563871167-1ee9c731aefb","Energy-returning running shoes for maximum comfort.","running shoes athletic adidas performance boost"
"22","Safety Helmet with Visor","Kishigo","Apparel","39.99","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","Full head protection for industrial work environments.","safety apparel construction helmet protective"
"23","Indoor String Fairy Lights","TWINSLUXES","Home Decor","15.00","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","Warm ambient lighting for bedroom and living spaces.","decor lights indoor mood-lighting led"
"24","Car Battery Tester Digital","Accutire","Automotive","45.00","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Quickly check the health of your car battery.","automotive tool digital battery maintenance"
"25","Argan Oil Hair Mask","SAURA LIFE","Beauty","22.00","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Deep conditioning treatment for dry and damaged hair.","ayurvedic beauty hair-care treatment mask organic"
"26","Smart Bluetooth Speaker","KASOTT","Electronics","49.00","https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Portable speaker with voice assistant integration.","electronics audio bluetooth speaker wireless smart"
"27","Daily Hydrating Lotion","Bio-Oil","Beauty","12.99","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Ultra-lightweight moisturizer for sensitive skin types.","skincare beauty lotion moisturizer daily-use"
"28","Vans Sk8-Hi MTE","Vans","Footwear","105.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Weather-resistant high top sneakers for winter.","footwear shoes vans outdoor winter boots"
"29","Canon PGI-250 Ink Set","Canon","Office","60.00","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Genuine Canon ink for vibrant photo printing.","office printer ink photography supplies professional"
"30","Gamer RGB Mousepad","Nexus","Peripherals","25.00","https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7","Extra large surface with customizable light zones.","gaming peripherals mousepad rgb desk-setup"
"31","Brooks Ghost 14","Brooks","Footwear","130.00","https://m.media-amazon.com/images/I/71QeGmahUnL._AC_UX500_.jpg","Smooth transition and soft cushioning for neutral runners.","running shoes athletic road-running brooks breathable"
"32","Reflective Rain Poncho","Kishigo","Apparel","19.50","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","Emergency high-vis rain gear for outdoor workers.","safety apparel reflective waterproof rain-gear"
"33","Solar Deck Lights (16 Pack)","TWINSLUXES","Home Decor","72.00","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","Stair and deck lighting for safety and aesthetics.","solar lights outdoor deck safety led"
"34","OBD2 Code Reader","Accutire","Automotive","38.00","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Diagnose check engine lights and vehicle health.","automotive tool digital diagnostics maintenance"
"35","Biotin Growth Shampoo","SAURA LIFE","Beauty","16.00","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Strengthening shampoo for thinning hair.","ayurvedic beauty hair-care shampoo growth natural"
"36","USB Condenser Microphone","KASOTT","Electronics","75.00","https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Studio quality audio for streaming and podcasting.","electronics audio mic streaming recording"
"37","Aloe Vera After-Sun Gel","Bio-Oil","Beauty","11.00","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Cooling relief for skin after sun exposure.","skincare beauty aloe soothing skin-care"
"38","Vans Authentic Lo Pro","Vans","Footwear","55.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Slim profile classic canvas sneakers.","footwear shoes vans classic low-profile"
"39","Epson 220XL High Yield","Epson","Office","45.00","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Reliable performance for high volume printing jobs.","office printer ink toner supplies professional"
"40","Webcam 1080p HD","Nexus","Peripherals","59.00","https://images.unsplash.com/photo-1587202372775-e229f172b9d7","Wide angle lens for video conferences and calls.","gaming peripherals webcam video streaming office"
"41","Asics Gel-Kayano 28","Asics","Footwear","160.00","https://images.unsplash.com/photo-1542291026-7eec264c27ff","Stability running shoe with premium support features.","running shoes athletic asics stability performance"
"42","Industrial Ear Muffs","Kishigo","Apparel","22.00","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","High-level noise protection for heavy duty work.","safety construction ear-protection sound-blocking"
"43","Smart LED Floor Lamp","TWINSLUXES","Home Decor","89.00","https://images.unsplash.com/photo-1534073828943-f801091bb18c","App-controlled lamp with millions of color options.","decor lights smart-home led furniture"
"44","Portable Air Compressor","Accutire","Automotive","64.00","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Handheld pump for tires and sports equipment.","automotive tool pump maintenance tires"
"45","Castor Oil Hair Treatment","SAURA LIFE","Beauty","14.00","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Pure organic castor oil for lash and hair growth.","ayurvedic beauty organic hair-oil growth"
"46","Gaming Headset 7.1","KASOTT","Electronics","110.00","https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Surround sound gaming headset with boom mic.","electronics audio gaming bluetooth headset"
"47","Sunscreen SPF 50+","Bio-Oil","Beauty","18.00","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Broad spectrum protection for all skin types.","skincare beauty sun-protection moisturizer spf"
"48","Vans Ultrarange Exo","Vans","Footwear","90.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Comfortable athletic sneakers for everyday adventure.","footwear shoes vans outdoor performance"
"49","Brother LC103 Ink Set","Brother","Office","55.00","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","High yield ink cartridges for MFC series.","office printer ink toner supplies professional"
"50","Laptop Cooling Pad","Nexus","Peripherals","29.00","https://images.unsplash.com/photo-1587202372775-e229f172b9d7","Dual fans to prevent laptop overheating during gaming.","gaming peripherals cooler laptop-accessory office"
"51","New Balance Fresh Foam","New Balance","Footwear","150.00","https://images.unsplash.com/photo-1587563871167-1ee9c731aefb","Plush cushioning for the ultimate running experience.","running shoes athletic balance performance foam"
"52","Hard Hat with LED Light","Kishigo","Apparel","45.00","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","Safety helmet with integrated rechargeable headlamp.","safety apparel construction helmet protective led"
"53","Solar Motion Sensor Lights","TWINSLUXES","Home Decor","39.00","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","Security lighting for garages and outdoor paths.","solar lights outdoor security led motion"
"54","Hydraulic Floor Jack","Accutire","Automotive","120.00","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Heavy duty lifting tool for vehicle maintenance.","automotive tool heavy-duty maintenance lifting"
"55","Keratin Hair Serum","SAURA LIFE","Beauty","24.00","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Smoothing serum to eliminate frizz and add shine.","ayurvedic beauty keratin hair-care serum"
"56","Wireless Charging Pad","KASOTT","Electronics","35.00","https://m.media-amazon.com/images/I/51PJLJF3tIL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Fast charging dock for smartphones and buds.","electronics phone-access charger wireless fast-charge"
"57","Night Repair Face Cream","Bio-Oil","Beauty","32.00","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Intensive moisturizing cream for overnight recovery.","skincare beauty night-cream moisturizer recovery"
"58","Vans Ward Sneakers","Vans","Footwear","60.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Durable vulcanized construction for everyday wear.","footwear shoes vans classic casual"
"59","Xerox Phaser Toner","Brother","Office","85.00","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Clear and sharp text for business documents.","office printer toner ink supplies professional"
"60","Bluetooth Mech Keyboard","Nexus","Peripherals","95.00","https://images.unsplash.com/photo-1511467687858-23d96c32e4ae","Compact 60% mechanical keyboard with blue switches.","gaming peripherals keyboard wireless mechanical rgb"
"61","Hoka Bondi 7","Nike","Footwear","160.00","https://m.media-amazon.com/images/I/71QeGmahUnL._AC_UX500_.jpg","Maximum cushion road shoe for fatigue reduction.","running shoes athletic performance road hoka"
"62","High-Vis Winter Parka","Kishigo","Apparel","115.00","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","Insulated safety jacket for extreme cold work.","safety apparel winter jacket reflective protective"
"63","Floating Pool Lights","TWINSLUXES","Home Decor","28.00","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","Color changing waterproof lights for pool parties.","decor lights outdoor pool waterproof party"
"64","Digital Multimeter Pro","Accutire","Automotive","55.00","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Electrical testing tool for car and home projects.","automotive tool digital testing maintenance electronics"
"65","Onion Hair Oil","SAURA LIFE","Beauty","12.00","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Natural extract oil for hair fall control.","ayurvedic beauty onion hair-oil natural healthy"
"66","True Wireless Headphones","KASOTT","Electronics","125.00","https://m.media-amazon.com/images/I/51PJLJF3tIL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Audiophile grade sound with long battery life.","electronics audio bluetooth wireless audiophile"
"67","Eye Contour Serum","Bio-Oil","Beauty","21.00","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Reduces puffiness and dark circles under eyes.","skincare beauty serum eye-care moisturizer"
"68","Vans Slip-On Pro","Vans","Footwear","75.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Enhanced cushioning for pro-level skateboarding.","footwear shoes vans skate classic durable"
"69","Lexmark High Yield Ink","Brother","Office","130.00","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Corporate grade ink for large scale printing.","office printer ink toner supplies professional"
"70","Streamer Mic Arm","Nexus","Peripherals","45.00","https://images.unsplash.com/photo-1587202372775-e229f172b9d7","Adjustable boom arm for professional audio setups.","gaming peripherals audio mic-arm streaming office"
"71","Puma Velocity Nitro","Nike","Footwear","120.00","https://images.unsplash.com/photo-1542291026-7eec264c27ff","Versatile daily trainer with nitrogen-infused foam.","running shoes athletic performance breathable puma"
"72","Safety Goggles Anti-Fog","Kishigo","Apparel","12.00","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","Protective eyewear for lab and construction work.","safety apparel construction eye-protection protective"
"73","Glow in Dark Tape","TWINSLUXES","Home Decor","18.00","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","Luminous safety tape for stairs and exits.","decor safety luminous glow-tape path"
"74","Torque Wrench 1/2 Inch","Accutire","Automotive","85.00","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Professional tool for precise bolt tightening.","automotive tool manual maintenance torque"
"75","Tea Tree Scalp Relief","SAURA LIFE","Beauty","15.00","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Soothes itchy scalp and controls dandruff naturally.","ayurvedic beauty natural hair-care dandruff relief"
"76","Bone Conduction Headset","KASOTT","Electronics","140.00","https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Open-ear design for safe outdoor listening.","electronics audio bluetooth wireless sports"
"77","Brightening Face Wash","Bio-Oil","Beauty","15.50","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Gentle cleanser that improves skin radiance.","skincare beauty cleanser wash daily-care"
"78","Vans Gilbert Crockett","Vans","Footwear","80.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Durable pro model skate shoes for high impact.","footwear shoes vans skate performance"
"79","Canon CLI-42 Colors","Brother","Office","120.00","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Professional color ink set for PIXMA printers.","office printer ink photography supplies professional"
"80","Ultra-Thin Gaming Mouse","Nexus","Peripherals","55.00","https://images.unsplash.com/photo-1527443224154-c4a3942d3acf","Lightweight optical mouse for competitive play.","gaming peripherals mouse wireless high-dpi"
"81","Mizuno Wave Rider 25","Nike","Footwear","140.00","https://images.unsplash.com/photo-1587563871167-1ee9c731aefb","Propulsive feel running shoes for neutral runners.","running shoes athletic performance breathable mizuno"
"82","Leather Work Gloves","Kishigo","Apparel","25.00","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","Heavy duty cowhide leather for construction.","safety construction gloves protection durable"
"83","Solar Wall Lanterns","TWINSLUXES","Home Decor","45.00","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","Vintage style outdoor wall lighting for porch.","solar lights outdoor decor led security"
"84","Heavy Duty Tow Strap","Accutire","Automotive","32.00","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Emergency towing rope for trucks and SUVs.","automotive tool emergency maintenance towing"
"85","Vitamin E Skin Oil","SAURA LIFE","Beauty","19.00","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Pure vitamin E for scar healing and hydration.","ayurvedic beauty natural oil skincare organic"
"86","Soundbar for Desktop","KASOTT","Electronics","60.00","https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Compact soundbar with deep bass for computers.","electronics audio speaker desktop office"
"87","Retinol Face Serum","Bio-Oil","Beauty","35.00","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Anti-aging serum to reduce fine lines.","skincare beauty anti-aging serum moisturizer"
"88","Vans Kyle Walker Pro","Vans","Footwear","85.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","Supportive and durable skate shoes for pros.","footwear shoes vans skate performance"
"89","Samsung Laser Drum","Brother","Office","150.00","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Replacement drum unit for professional printers.","office printer toner drum supplies professional"
"90","Wireless Gaming Controller","Nexus","Peripherals","65.00","https://images.unsplash.com/photo-1587202372775-e229f172b9d7","Hall-effect triggers for zero drift during play.","gaming peripherals controller wireless pc-gaming"
"91","Reebok Floatride Energy","Nike","Footwear","110.00","https://images.unsplash.com/photo-1542291026-7eec264c27ff","Lightweight cushioned shoe for daily miles.","running shoes athletic reebok performance breathable"
"92","ANSI Class 3 Bomber Jacket","Kishigo","Apparel","95.00","https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg","High visibility warm jacket for roadway work.","safety apparel jacket reflective protective"
"93","RGB LED Strip Kit","TWINSLUXES","Home Decor","22.00","https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY300_SY300_QL70_FMwebp_.jpg","16ft color changing tape for home theater.","decor led lights smart-home party"
"94","Hydraulic Jack Stands","Accutire","Automotive","75.00","https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg","Pair of 3-ton stands for vehicle safety.","automotive tool heavy-duty maintenance safety"
"95","Scalp Stimulator Brush","SAURA LIFE","Beauty","9.00","https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg","Silicone massager for enhanced oil absorption.","ayurvedic beauty tool hair-care massager"
"96","Desktop Podcast Bundle","KASOTT","Electronics","180.00","https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Mic, boom arm, and pop filter for recording.","electronics audio streaming bundle recording"
"97","Vitamin C Daily Cream","Bio-Oil","Beauty","24.00","https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg","Brightening moisturizer with vitamin C and E.","skincare beauty cream moisturizer daily-use"
"98","Vans Ave Pro","Vans","Footwear","110.00","https://m.media-amazon.com/images/I/71bsjxWjrxL.__AC_SY395_SX395_QL70_FMwebp_.jpg","The most advanced skate shoe ever made by Vans.","footwear shoes vans skate performance tech"
"99","Office Shredder Heavy Duty","Brother","Office","210.00","https://m.media-amazon.com/images/I/81bk-Zp3o5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Cross-cut shredder for sensitive documents.","office supplies security shredder professional"
"100","Streaming Ring Light","Nexus","Peripherals","39.00","https://images.unsplash.com/photo-1587202372775-e229f172b9d7","10-inch light with tripod for video content.","gaming peripherals lighting streaming video"